match_id,team_A,team_B,score,cote,crowd,pts,bet,result
11,cote_d_ivoire,equateur,2-4,167.1,0,,,
11,cote_d_ivoire,equateur,3-0,43.01,1,,,
11,cote_d_ivoire,equateur,3-1,40.12,4,,,
11,cote_d_ivoire,equateur,3-2,66.73,1,,,
11,cote_d_ivoire,equateur,3-3,154.94,0,,,
11,cote_d_ivoire,equateur,4-0,139.81,0,,,
11,cote_d_ivoire,equateur,4-1,131.72,0,,,
11,cote_d_ivoire,equateur,4-2,,0,,,
12,suede,tunisie,0-0,9.45,13,,,
12,suede,tunisie,0-1,11.63,3,,,
12,suede,tunisie,0-2,23.17,1,,,
12,suede,tunisie,0-3,62.99,0,,,
12,suede,tunisie,0-4,,0,,,
12,suede,tunisie,1-0,7.16,20,,1,
12,suede,tunisie,1-1,6.83,10,,,
12,suede,tunisie,1-2,15.41,2,,,
12,suede,tunisie,1-3,43.08,0,,,
12,suede,tunisie,1-4,142.51,0,,,
12,suede,tunisie,2-0,9.28,19,,,
12,suede,tunisie,2-1,9.62,19,,,
12,suede,tunisie,2-2,18.43,2,,,
12,suede,tunisie,2-3,52.8,0,,,
12,suede,tunisie,2-4,171.4,0,,,
12,suede,tunisie,3-0,17.24,4,,,
12,suede,tunisie,3-1,18.97,4,,,
12,suede,tunisie,3-2,34.7,0,,,
12,suede,tunisie,3-3,87.33,0,,,
12,suede,tunisie,4-0,40.27,1,,,
12,suede,tunisie,4-1,42.14,0,,,
12,suede,tunisie,4-2,78.41,0,,,
12,suede,tunisie,4-3,194.44,0,,,
12,suede,tunisie,5-0,108,0,,,
12,suede,tunisie,5-1,113.04,0,100,,1
12,suede,tunisie,5-2,198.61,0,,,
13,espagne,cap_vert,0-0,24.44,1,50,,1
13,espagne,cap_vert,0-1,39.37,1,,,
13,espagne,cap_vert,0-2,98.26,1,,,
13,espagne,cap_vert,1-0,8.42,6,,,
13,espagne,cap_vert,1-1,31.23,1,,,
13,espagne,cap_vert,1-2,51.27,1,,,
13,espagne,cap_vert,2-0,5.75,6,,,
13,espagne,cap_vert,2-1,11.6,2,,,
13,espagne,cap_vert,2-2,19.71,0,,,
13,espagne,cap_vert,3-0,6.05,11,,1,
13,espagne,cap_vert,3-1,11.19,5,,,
13,espagne,cap_vert,3-2,34.44,1,,,
13,espagne,cap_vert,3-3,66,0,,,
13,espagne,cap_vert,4-0,7.7,12,,,
13,espagne,cap_vert,4-1,14.59,5,,,
13,espagne,cap_vert,4-2,40.36,1,,,
13,espagne,cap_vert,5-0,11.15,10,,,
13,espagne,cap_vert,5-1,21.23,5,,,
13,espagne,cap_vert,5-2,57.42,1,,,
13,espagne,cap_vert,6-0,18.56,8,,,
13,espagne,cap_vert,6-1,33.54,2,,,
13,espagne,cap_vert,6-2,84.15,0,,,
13,espagne,cap_vert,7-0,27,4,,,
14,belgique,egypte,0-0,11.46,5,50,,
14,belgique,egypte,0-1,15.8,1,30,,
14,belgique,egypte,0-2,36.67,1,,,
14,belgique,egypte,0-3,114.67,0,,,
14,belgique,egypte,1-0,6.93,6,,1,
14,belgique,egypte,1-1,8.3,8,20,,1
14,belgique,egypte,1-2,21.11,1,,,
14,belgique,egypte,1-3,68.12,0,,,
14,belgique,egypte,1-4,,0,,,
14,belgique,egypte,2-0,7.37,13,,,
14,belgique,egypte,2-1,9.12,22,,,
14,belgique,egypte,2-2,20.73,5,,,
14,belgique,egypte,2-3,70.93,0,,,
14,belgique,egypte,2-4,,0,,,
14,belgique,egypte,3-0,11.62,5,,,
14,belgique,egypte,3-1,14.51,14,,,
14,belgique,egypte,3-2,33.79,3,,,
14,belgique,egypte,3-3,97,2,,,
14,belgique,egypte,4-0,23.31,2,,,
14,belgique,egypte,4-1,29.11,4,,,
14,belgique,egypte,4-2,64.7,1,,,
14,belgique,egypte,4-3,189.59,0,,,
14,belgique,egypte,5-0,54.76,1,,,
14,belgique,egypte,5-1,68,1,,,
14,belgique,egypte,5-2,144.59,1,,,
14,belgique,egypte,6-0,141.92,1,,,
14,belgique,egypte,6-1,173.32,0,,,
15,arabie_saoudite,uruguay,0-0,10.68,13,,,
15,arabie_saoudite,uruguay,0-1,6.12,12,,1,
15,arabie_saoudite,uruguay,0-2,6.31,28,,,
15,arabie_saoudite,uruguay,0-3,9.72,4,,,
15,arabie_saoudite,uruguay,0-4,19.03,2,,,
15,arabie_saoudite,uruguay,0-5,43.86,0,,,
15,arabie_saoudite,uruguay,0-6,111.59,0,,,
15,arabie_saoudite,uruguay,1-0,17.68,3,,,
15,arabie_saoudite,uruguay,1-1,9.42,7,20,,1
15,arabie_saoudite,uruguay,1-2,9.86,14,,,
15,arabie_saoudite,uruguay,1-3,14.88,6,,,
15,arabie_saoudite,uruguay,1-4,28.8,1,,,
15,arabie_saoudite,uruguay,1-5,65.55,0,,,
15,arabie_saoudite,uruguay,1-6,163.4,0,,,
15,arabie_saoudite,uruguay,2-0,49.65,2,,,
15,arabie_saoudite,uruguay,2-1,28.06,3,,,
15,arabie_saoudite,uruguay,2-2,25.36,1,,,
15,arabie_saoudite,uruguay,2-3,41.7,0,,,
15,arabie_saoudite,uruguay,2-4,76.53,1,,,
15,arabie_saoudite,uruguay,2-5,165.04,0,,,
15,arabie_saoudite,uruguay,3-0,179.46,1,,,
15,arabie_saoudite,uruguay,3-1,105.31,0,,,
15,arabie_saoudite,uruguay,3-2,106.68,0,,,
15,arabie_saoudite,uruguay,3-3,134.99,0,,,
16,iran,nouvelle_zelande,0-0,8.56,12,,,
16,iran,nouvelle_zelande,0-1,11.38,2,,,
16,iran,nouvelle_zelande,0-2,26.22,1,,,
16,iran,nouvelle_zelande,0-3,81.81,0,,,
16,iran,nouvelle_zelande,1-0,6.05,15,,,
16,iran,nouvelle_zelande,1-1,7.31,7,,,
16,iran,nouvelle_zelande,1-2,18.16,1,,,
16,iran,nouvelle_zelande,1-3,57.78,0,,,
16,iran,nouvelle_zelande,2-0,7.95,16,,,
16,iran,nouvelle_zelande,2-1,9.88,13,,,
16,iran,nouvelle_zelande,2-2,23.47,1,50,,1
16,iran,nouvelle_zelande,2-3,72.78,0,,,
16,iran,nouvelle_zelande,3-0,15.08,2,,1,
16,iran,nouvelle_zelande,3-1,18.52,5,,,
16,iran,nouvelle_zelande,3-2,41.9,2,,,
16,iran,nouvelle_zelande,3-3,126.11,0,,,
16,iran,nouvelle_zelande,4-0,35.64,1,,,
16,iran,nouvelle_zelande,4-1,44.08,1,,,
16,iran,nouvelle_zelande,4-2,94.6,1,,,
16,iran,nouvelle_zelande,5-0,94.6,0,,,
16,iran,nouvelle_zelande,5-1,117.44,0,,,
17,france,senegal,0-0,15.84,3,70,,
17,france,senegal,0-1,18.63,1,,,
17,france,senegal,0-2,37.96,1,,,
17,france,senegal,0-3,102.32,0,,,
17,france,senegal,1-0,8.43,3,70,1,
17,france,senegal,1-1,9.55,5,,,
17,france,senegal,1-2,19.65,3,,,
17,france,senegal,1-3,56.16,0,,,
17,france,senegal,2-0,8.19,8,50,,
17,france,senegal,2-1,8.91,31,,,
17,france,senegal,2-2,17.26,5,,,
17,france,senegal,2-3,54.34,1,,,
17,france,senegal,3-0,11.33,4,,,
17,france,senegal,3-1,12.56,20,30,,1
17,france,senegal,3-2,26.04,3,,,
17,france,senegal,3-3,68.87,1,,,
17,france,senegal,4-0,20.6,2,,,
17,france,senegal,4-1,22.93,3,,,
17,france,senegal,4-2,46.34,2,,,
17,france,senegal,4-3,134.9,0,,,
17,france,senegal,5-0,43.1,1,,,
17,france,senegal,5-1,51.56,1,,,
17,france,senegal,5-2,103.86,0,,,
17,france,senegal,6-0,99.82,0,,,
17,france,senegal,6-1,117.2,0,,,
18,irak,norvege,0-0,18.04,3,,,
18,irak,norvege,0-1,7.46,7,,1,
18,irak,norvege,0-2,6.08,21,,,
18,irak,norvege,0-3,7.24,17,,,
18,irak,norvege,0-4,11.51,5,,,
18,irak,norvege,0-5,22.05,2,,,
18,irak,norvege,0-6,48.85,1,,,
18,irak,norvege,1-0,29.28,1,,,
18,irak,norvege,1-1,15.46,2,,,
18,irak,norvege,1-2,10.55,11,,,
18,irak,norvege,1-3,12.62,10,,,
18,irak,norvege,1-4,19.64,4,70,,1
18,irak,norvege,1-5,37.29,1,,,
18,irak,norvege,1-6,80.31,0,,,
18,irak,norvege,2-0,86.5,1,,,
18,irak,norvege,2-1,40.75,2,,,
18,irak,norvege,2-2,28.12,1,,,
18,irak,norvege,2-3,39.82,0,,,
18,irak,norvege,2-4,60.18,0,,,
18,irak,norvege,2-5,107.61,1,,,
18,irak,norvege,2-6,210,0,,,
18,irak,norvege,3-1,160.94,0,,,
18,irak,norvege,3-2,136.17,0,,,
18,irak,norvege,3-3,133.73,0,,,
18,irak,norvege,3-4,,0,,,
19,argentine,algerie,0-0,11.84,4,,,
19,argentine,algerie,0-1,17.41,3,,,
19,argentine,algerie,0-2,44.05,1,,,
19,argentine,algerie,0-3,141.58,0,,,
19,argentine,algerie,1-0,6.59,6,,1,
19,argentine,algerie,1-1,9.5,6,,,
19,argentine,algerie,1-2,24.54,9,,,
19,argentine,algerie,1-3,85.08,1,,,
19,argentine,algerie,2-0,6.74,17,,,
19,argentine,algerie,2-1,9.51,14,,,
19,argentine,algerie,2-2,22.66,5,,,
19,argentine,algerie,2-3,86.28,1,,,
19,argentine,algerie,3-0,10.08,7,50,,1
19,argentine,algerie,3-1,14.1,10,,,
19,argentine,algerie,3-2,36.12,2,,,
19,argentine,algerie,3-3,110.57,1,,,
19,argentine,algerie,4-0,19.47,1,,,
19,argentine,algerie,4-1,26.98,2,,,
19,argentine,algerie,4-2,66.46,2,,,
19,argentine,algerie,4-3,215,0,,,
19,argentine,algerie,5-0,44.4,0,,,
19,argentine,algerie,5-1,60.77,0,,,
19,argentine,algerie,5-2,141.27,0,,,
19,argentine,algerie,6-0,113.58,0,,,
19,argentine,algerie,6-1,151.5,0,,,
20,autriche,jordanie,0-0,13.65,5,,,
20,autriche,jordanie,0-1,20.41,2,,,
20,autriche,jordanie,0-2,52.97,2,,,
20,autriche,jordanie,0-3,176.84,0,,,
20,autriche,jordanie,1-0,6.93,13,,1,
20,autriche,jordanie,1-1,10.7,4,,,
20,autriche,jordanie,1-2,27.76,2,,,
20,autriche,jordanie,1-3,98.08,0,,,
20,autriche,jordanie,2-0,6.53,21,,,
20,autriche,jordanie,2-1,9.66,10,,,
20,autriche,jordanie,2-2,23.48,2,,,
20,autriche,jordanie,2-3,92.81,0,,,
20,autriche,jordanie,3-0,9.06,9,,,
20,autriche,jordanie,3-1,23.48,5,50,,1
20,autriche,jordanie,3-2,92.81,4,,,
20,autriche,jordanie,3-3,,2,,,
20,autriche,jordanie,4-0,16.33,3,,,
20,autriche,jordanie,4-1,23.53,1,,,
20,autriche,jordanie,4-2,60.16,3,,,
20,autriche,jordanie,4-3,197.33,0,,,
20,autriche,jordanie,5-0,35.09,1,,,
20,autriche,jordanie,5-1,49.74,1,,,
20,autriche,jordanie,5-2,121.28,0,,,
20,autriche,jordanie,6-0,84.81,0,,,
20,autriche,jordanie,6-1,117.66,0,,,
20,autriche,jordanie,6-2,,0,,,
21,portugal,congo,0-0,14.59,2,50,,
21,portugal,congo,0-1,23.97,1,,,
21,portugal,congo,0-2,69.68,1,,,
21,portugal,congo,0-3,,0,,,
21,portugal,congo,1-0,6.94,4,70,1,
21,portugal,congo,1-1,12.35,3,20,,1
21,portugal,congo,1-2,34.81,1,,,
21,portugal,congo,1-3,137.03,0,,,
21,portugal,congo,2-0,5.99,14,,,
21,portugal,congo,2-1,10.04,9,,,
21,portugal,congo,2-2,27.01,1,,,
